uf,status,orgao,documento,numero,data,natureza_doc,consist,riscos_sanitarios_projetados,data_verificacao,url
MS,VIG,SES-MS,Plano de Contingência Estadual Arboviroses 2025-2026 (guias e manuais da SES),,08/10/2025,ex-ante,NEUTRO,"arboviroses; respiratórias por queimadas; leptospirose e diarreias; continuidade de serviços (diálise, oxigênio, rede de frio)",05/09/2026,https://www.saude.ms.gov.br/informativos/guias-e-manuais/plano-de-contingencia-estadual-arboviroses-2025-2026/
MT,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
PA,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
PB,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
PE,VIG,SES-PE,Plano de Enfrentamento das Arboviroses 2025/2026 (divulgado em 22/01/2025; capítulo específico de Oropouche),,22/01/2025,ex-ante,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,05/09/2026,https://portal.saude.pe.gov.br/pernambuco-divulga-plano-de-enfrentamento-das-arboviroses-2025-2026/
PI,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
PR,VIG,SESA-PR,"Plano de ação e contingência de arboviroses para a sazonalidade 2024/2025, apresentado ao Comitê Intersetorial de Controle da Dengue (22/11/2024); página oficial de dengue da SESA está 'indisponível devido ao período eleitoral' (fonte suspensa no defeso)",,22/11/2024,ex-ante,NEUTRO,leptospirose; doenças diarreicas agudas; hepatite A; abrigos e continuidade de serviços,05/09/2026,https://www.saude.pr.gov.br/Noticia/Parana-intensifica-combate-dengue-com-Comite-Intersetorial-e-acoes-integradas
RJ,NAO_VERIFICADO,,,,,nenhum,NEUTRO,leptospirose; doenças diarreicas agudas; hepatite A; abrigos e continuidade de serviços,,
RN,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
RO,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
RR,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
RS,VIG,SES-RS / CEVS,"Plano de Contingência Dengue 2024-2025, 2ª versão (fevereiro/2025); plano para o verão 2025/2026 apresentado às coordenadorias em 29-31/10/2025, edição ainda não listada na página oficial",,10/02/2025,ex-ante,NEUTRO,leptospirose; doenças diarreicas agudas; hepatite A; abrigos e continuidade de serviços,05/09/2026,https://saude.rs.gov.br/plano-de-contingencia
SC,VIG,SES-SC / DIVE,"Plano de Contingência para o enfrentamento da dengue, zika e chikungunya — temporada 2025/2026 (cenário de preparação + três níveis de alerta)",,08/09/2025,ex-ante,NEUTRO,leptospirose; doenças diarreicas agudas; hepatite A; abrigos e continuidade de serviços,05/09/2026,https://www.dive.sc.gov.br/index.php/noticias-todas/843-saude-atualiza-plano-de-contingencia-para-o-enfrentamento-das-arboviroses-em-santa-catarina
SE,VIG,SES-SE,Plano de Contingência para Enfrentamento e Controle de Epidemias por Arboviroses no Estado de Sergipe (publicado na página oficial de arboviroses da SES; sem data de edição na página),,,ex-ante,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,05/09/2026,https://saude.se.gov.br/arboviroses-dengue-chikungunya-e-zika/
SP,VIG,SES-SP / CVE,"Plano de Contingência das Arboviroses Urbanas: Dengue, Chikungunya e Zika 2025/2026 (apresentado em 15/01/2025; nova metodologia de estágios)",,15/01/2025,ex-ante,NEUTRO,leptospirose; doenças diarreicas agudas; hepatite A; abrigos e continuidade de serviços,05/09/2026,https://dengue.saude.sp.gov.br/
TO,NAO_VERIFICADO,,,,,nenhum,NEUTRO,arboviroses (armazenamento de água); doenças respiratórias por fumaça de queimadas; ondas de calor; qualidade da água em estiagem,,
